metric,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
accuracy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8947368421052632,1.0,0.8421052631578947,0.8947368421052632,0.9473684210526315,1.0,0.9473684210526315,1.0,0.9473684210526315,1.0,0.9473684210526315,1.0,0.9473684210526315,1.0,0.9473684210526315,1.0,0.9473684210526315,1.0,0.8947368421052632,0.8421052631578947,0.8947368421052632,0.8947368421052632
auc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.9791666666666667,0.9791666666666667,1.0,1.0,1.0,1.0,1.0,0.9791666666666667,1.0,0.9791666666666667,1.0,1.0,1.0,1.0,1.0,0.9166666666666667,0.8333333333333334,0.9166666666666667,0.8958333333333334
f1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.9032258064516129,0.9375,0.967741935483871,1.0,0.9696969696969697,1.0,0.9696969696969697,1.0,0.9696969696969697,1.0,0.9696969696969697,1.0,0.9696969696969697,1.0,0.967741935483871,1.0,0.9375,0.9032258064516129,0.9375,0.9375
