metric,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
accuracy,1.0,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.8125,0.8125,0.875,0.875,0.9375,0.9375,0.875,0.875,0.9375,0.9375,0.9375,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.9375
auc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.984375,0.984375,1.0,1.0,1.0,0.984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.984375,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125
f1,1.0,1.0,1.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9333333333333333,0.8571428571428571,0.7692307692307693,0.7692307692307693,0.8571428571428571,0.8571428571428571,0.9333333333333333,0.9411764705882353,0.875,0.875,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.9411764705882353
