metric,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
accuracy,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.4,0.4,0.5,0.6,0.5,0.5,0.5,0.5
auc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.88,0.88,1.0,1.0,0.9600000000000001,0.8,0.8,0.8,0.8,0.8,0.8400000000000001,0.72,0.68,0.52,0.6,0.6799999999999999,0.56,0.64,0.6799999999999999,0.64,0.32000000000000006,0.16000000000000003,0.32000000000000006,0.36000000000000004,0.44000000000000006,0.32,0.3600000000000001,0.36
f1,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,0.8,0.8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.6666666666666666,0.4,0.4,0.5454545454545454,0.6666666666666666,0.5454545454545454,0.4444444444444444,0.4444444444444444,0.4444444444444444
