metric,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
accuracy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.75,0.5,0.6666666666666666,0.5,0.5833333333333334,0.8333333333333334,0.75,0.5,0.5
auc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9722222222222223,0.9722222222222223,0.9722222222222223,0.9722222222222223,0.9722222222222223,0.9722222222222223,0.9722222222222223,0.9722222222222223,0.9722222222222223,0.9722222222222223,0.9166666666666667,0.9722222222222223,0.9444444444444444,0.9166666666666667,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.6944444444444445,0.7777777777777779,0.6944444444444445,0.6944444444444445,0.8055555555555556,0.8055555555555556,0.6666666666666667,0.6944444444444444
f1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.8,0.6,0.8333333333333334,0.6,0.7272727272727273,0.25,0.6,0.25,0.4444444444444444,0.8,0.6666666666666666,0.25,0.25
