metric,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
accuracy,0.7894736842105263,0.8421052631578947,0.881578947368421,0.881578947368421,0.8552631578947368,0.7763157894736842,0.7763157894736842,0.7631578947368421,0.7763157894736842,0.7763157894736842,0.7236842105263158,0.8157894736842105,0.7894736842105263,0.8026315789473685,0.75,0.7368421052631579,0.7763157894736842,0.7368421052631579,0.7631578947368421,0.75,0.6842105263157895,0.6973684210526315,0.6973684210526315,0.6710526315789473,0.6973684210526315,0.7631578947368421,0.6842105263157895,0.7236842105263158,0.7631578947368421,0.6973684210526315,0.7236842105263158,0.7236842105263158,0.6842105263157895,0.6842105263157895,0.6710526315789473,0.6842105263157895
auc,0.9393624393624393,0.9362439362439363,0.9459459459459459,0.9563409563409563,0.9203049203049203,0.8898128898128899,0.8925848925848926,0.884961884961885,0.8496188496188496,0.8544698544698545,0.8343728343728344,0.8558558558558559,0.8572418572418572,0.8814968814968815,0.8579348579348578,0.8274428274428275,0.8302148302148302,0.83991683991684,0.86001386001386,0.8496188496188496,0.841995841995842,0.8212058212058212,0.8115038115038116,0.792099792099792,0.799029799029799,0.8080388080388079,0.7997227997227997,0.7782397782397782,0.7955647955647956,0.7914067914067914,0.7865557865557865,0.8108108108108109,0.8073458073458074,0.8038808038808039,0.7893277893277892,0.8322938322938322
f1,0.8095238095238095,0.85,0.8831168831168831,0.8860759493670886,0.8607594936708861,0.7733333333333333,0.7901234567901234,0.7692307692307693,0.7792207792207793,0.7733333333333333,0.7123287671232876,0.8205128205128205,0.7948717948717948,0.810126582278481,0.7865168539325843,0.7674418604651163,0.7901234567901234,0.7777777777777778,0.7692307692307693,0.7710843373493976,0.7272727272727273,0.7294117647058823,0.7228915662650602,0.7058823529411765,0.7160493827160493,0.7567567567567568,0.7142857142857143,0.7272727272727273,0.7567567567567568,0.7228915662650602,0.72,0.7341772151898734,0.7391304347826086,0.7391304347826086,0.7311827956989247,0.7333333333333333
